nameWithOwner,createdAt,age,updatedAt,timeSinceLastUpdate,primaryLanguage,pullRequests,issues,closedIssues,releases
reduxjs/redux,2015-05-29T23:53:15Z,94,2023-03-08T01:35:15Z,-2.2161772241666666,TypeScript,1584,1982,1939,70
angular/angular.js,2010-01-06T00:34:37Z,158,2023-03-07T16:31:18Z,6.849656109166666,JavaScript,789,9040,8649,0
atom/atom,2012-01-20T18:18:21Z,134,2023-03-08T01:22:58Z,-2.0114550019444444,JavaScript,3937,17125,16156,538
godotengine/godot,2014-01-04T16:05:36Z,110,2023-03-08T01:43:44Z,-2.3575661130555554,C++,26459,40416,33087,43
redis/redis,2009-03-21T22:32:25Z,168,2023-03-08T01:19:49Z,-1.9589550019444444,C,3195,5876,4062,46
home-assistant/core,2013-09-17T07:29:48Z,114,2023-03-07T22:43:47Z,0.6416005536111111,Python,44194,36772,34556,1000
protocolbuffers/protobuf,2014-08-26T15:52:15Z,103,2023-03-08T01:57:44Z,-2.590899446388889,C++,4188,5427,4775,122
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,80,2023-03-08T01:33:03Z,-2.1795105575,JavaScript,703,348,256,6
adam-p/markdown-here,2012-05-13T03:27:22Z,130,2023-03-08T00:10:26Z,-0.8025661130555556,JavaScript,20,603,308,11
josephmisiti/awesome-machine-learning,2014-07-15T19:11:19Z,104,2023-03-08T02:14:13Z,-2.865621668611111,Python,780,80,80,0
socketio/socket.io,2010-03-11T18:24:48Z,156,2023-03-08T01:14:48Z,-1.8753438908333333,TypeScript,415,3309,3207,55
xingshaocheng/architect-awesome,2018-04-06T13:30:58Z,59,2023-03-08T01:56:57Z,-2.5778438908333334,None,49,67,20,0
keras-team/keras,2015-03-28T00:35:42Z,96,2023-03-08T01:59:40Z,-2.623121668611111,Python,2760,11657,11378,46
jquery/jquery,2009-04-03T15:20:14Z,167,2023-03-08T02:09:17Z,-2.7833994463888887,JavaScript,595,2237,2163,5
h5bp/Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,133,2023-03-07T22:09:29Z,1.213267220277778,Nunjucks,439,130,126,0
ansible/ansible,2012-03-06T14:58:02Z,132,2023-03-08T01:38:22Z,-2.268121668611111,Python,36367,31203,30559,0
kelseyhightower/nocode,2018-02-06T23:54:00Z,61,2023-03-07T20:28:40Z,2.8935449980555554,Dockerfile,1,4463,609,1
shadowsocks/shadowsocks-windows,2013-01-14T07:54:16Z,122,2023-03-07T23:05:36Z,0.2779894425,C#,278,2837,2716,55
lodash/lodash,2012-04-07T04:11:46Z,131,2023-03-07T20:32:59Z,2.8216005536111113,JavaScript,573,4099,3786,2
leonardomso/33-js-concepts,2018-09-04T13:27:04Z,54,2023-03-08T00:43:14Z,-1.349232779722222,JavaScript,158,51,36,0
tiangolo/fastapi,2018-12-08T08:21:47Z,51,2023-03-08T00:56:07Z,-1.5639550019444444,Python,1149,3315,3296,145
mermaid-js/mermaid,2014-11-01T23:52:32Z,100,2023-03-08T01:48:12Z,-2.4320105575,JavaScript,1523,2285,1416,104
nestjs/nest,2017-02-04T20:12:52Z,73,2023-03-08T02:20:45Z,-2.9745105575,TypeScript,4806,4645,4606,81
chrislgarry/Apollo-11,2014-04-03T15:45:02Z,107,2023-03-07T17:59:08Z,5.385767220277778,Assembly,320,377,316,0
apache/echarts,2013-04-03T03:18:59Z,119,2023-03-08T02:01:52Z,-2.659788335277778,TypeScript,1157,16661,14504,107
grafana/grafana,2013-12-11T15:59:56Z,111,2023-03-08T01:49:59Z,-2.4617327797222224,TypeScript,28827,28582,25676,342
enaqx/awesome-react,2014-08-06T05:31:44Z,103,2023-03-08T02:07:13Z,-2.7489550019444446,None,765,93,73,0
gatsbyjs/gatsby,2015-05-21T22:43:05Z,94,2023-03-08T01:33:05Z,-2.1800661130555556,JavaScript,17589,13824,13755,129
h5bp/html5-boilerplate,2010-01-24T18:03:24Z,158,2023-03-08T02:00:20Z,-2.6342327797222223,JavaScript,666,1300,1291,32
